epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.2607,0.43572,0.84295,1,0.33937,0.000547614,0.000547614,0.000547614
2,38.5331,0.41732,0.83226,1,0.49701,0.00105959,0.00105959,0.00105959
3,58.2345,0.46503,0.69979,1,0.75928,0.00152756,0.00152756,0.00152756
4,75.383,0.46018,0.82265,1,0.47439,0.00146896,0.00146896,0.00146896
5,93.1307,0.46965,0.82372,1,0.40876,0.00140295,0.00140295,0.00140295
6,112.785,0.4432,0.79701,1,0.44263,0.00133693,0.00133693,0.00133693
7,130.453,0.43955,0.81838,1,0.45555,0.00127092,0.00127092,0.00127092
8,149.062,0.4578,0.83547,1,0.363,0.00120491,0.00120491,0.00120491
9,167.809,0.40957,0.81624,1,0.46475,0.00113889,0.00113889,0.00113889
