epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.36813,0.34585,0.92286,1,0.21693,0.000550324,0.000550324,0.000550324
2,9.1512,0.26345,0.90884,1,0.22321,0.00106949,0.00106949,0.00106949
3,13.1085,0.28814,0.91024,1,0.23662,0.00155199,0.00155199,0.00155199
4,17.2094,0.30401,0.89621,1,0.2625,0.00150197,0.00150197,0.00150197
5,21.0908,0.26997,0.92006,1,0.21382,0.00144696,0.00144696,0.00144696
6,25.3017,0.26821,0.93268,1,0.20296,0.00139195,0.00139195,0.00139195
7,29.1884,0.26423,0.92567,1,0.19318,0.00133693,0.00133693,0.00133693
8,33.1533,0.24476,0.93829,1,0.17341,0.00128192,0.00128192,0.00128192
9,37.2863,0.24316,0.8317,1,0.39998,0.00122691,0.00122691,0.00122691
10,41.245,0.23066,0.93969,1,0.2392,0.0011719,0.0011719,0.0011719
11,45.3891,0.21142,0.9425,1,0.15803,0.00111689,0.00111689,0.00111689
12,49.4557,0.20022,0.94951,1,0.17368,0.00106188,0.00106188,0.00106188
13,53.4741,0.19265,0.93268,1,0.19996,0.00100687,0.00100687,0.00100687
14,57.6083,0.17678,0.94109,1,0.21029,0.000951857,0.000951857,0.000951857
15,61.4982,0.18421,0.94951,1,0.1709,0.000896846,0.000896846,0.000896846
16,65.5354,0.15722,0.94951,1,0.16687,0.000841835,0.000841835,0.000841835
17,69.7629,0.16142,0.95792,1,0.15154,0.000786824,0.000786824,0.000786824
18,73.5946,0.15881,0.94951,1,0.15494,0.000731813,0.000731813,0.000731813
19,77.6885,0.14374,0.9453,1,0.3338,0.000676802,0.000676802,0.000676802
20,81.5298,0.14476,0.96073,1,0.16432,0.000621791,0.000621791,0.000621791
21,86.0255,0.12849,0.95231,1,0.18474,0.00056678,0.00056678,0.00056678
22,90.0745,0.1243,0.95372,1,0.14549,0.000511769,0.000511769,0.000511769
23,93.8799,0.11781,0.95372,1,0.13787,0.000456758,0.000456758,0.000456758
24,97.8043,0.11959,0.96353,1,0.1259,0.000401747,0.000401747,0.000401747
25,101.673,0.09929,0.96213,1,0.13457,0.000346736,0.000346736,0.000346736
26,105.617,0.09501,0.96353,1,0.15056,0.000291725,0.000291725,0.000291725
27,109.542,0.10122,0.96914,1,0.12187,0.000236714,0.000236714,0.000236714
28,113.588,0.08757,0.96213,1,0.20406,0.000181703,0.000181703,0.000181703
29,117.424,0.08499,0.96494,1,0.15595,0.000126692,0.000126692,0.000126692
30,121.453,0.06566,0.97055,1,0.12422,7.1681e-05,7.1681e-05,7.1681e-05
